"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","home","family","feel","job","life","dinner","daughter","found","watched","friend"
"2","son","birthday","love","received","event","husband","school","bought","enjoyed","played"
"3","sister","surprise","morning","money","talked","favorite","started","house","movie","game"
"4","visit","brother","night","weeks","trip","wife","finished","car","girlfriend","won"
"5","lunch","party","makes","project","spend","eat","finally","finally","hours","told"
"6","mother","completed","happiness","promotion","planned","nice","days","purchased","dog","video"
"7","wife","gift","people","pay","weekend","mom","book","buy","walk","met"
"8","meet","phone","live","company","parents","food","class","shopping","kids","team"
"9","baby","person","sleep","recently","exam","night","college","store","nice","tickets"
"10","father","movement","share","helped","successfully","ate","hard","lost","run","win"
"11","learned","dad","smile","hit","proud","delicious","passed","cleaned","vacation","mine"
"12","birth","celebrate","woke","called","office","restaurant","couple","cat","park","care"
"13","cooked","date","children","goal","remember","brought","graduation","moved","relax","close"
"14","travel","waiting","wonderful","managed","free","coffee","ive","online","beautiful","hadnt"
"15","boy","excited","experience","paid","didnt","pizza","laugh","dollars","girl","match"
"16","town","marriage","life","card","temple","drink","minutes","drive","listening","hang"
"17","boyfriend","results","positive","saved","summer","ready","read","city","ride","funny"
"18","niece","attended","joy","offer","wedding","ice","test","sale","bike","baseball"
"19","coming","function","picture","boss","havent","cooked","students","local","bed","perfect"
"20","born","song","quality","program","music","meal","dont","clothes","evening","chat"
